transaccion_id,fecha,cliente_id,producto_id,tipo,monto,canal,mcc,dias_mora
1,2025-08-15,25,7,pago_cuota,111897.65,web,gasolina,0
2,2025-08-04,94,5,atraso_pago,94224.82,oficina,ecommerce,46
3,2025-07-06,78,10,atraso_pago,31727.27,app,gasolina,16
4,2025-09-20,71,10,compra_tc,362465.91,oficina,gasolina,0
5,2025-09-07,17,12,deposito,259012.56,oficina,supermercado,0
6,2025-08-16,84,8,pago_cuota,175639.44,web,restaurante,0
7,2025-07-25,100,14,apertura,0.0,telefono,entretenimiento,0
8,2025-09-04,9,9,compra_tc,427575.9,telefono,servicios,0
9,2025-07-10,38,5,deposito,141021.79,web,supermercado,0
10,2025-08-25,48,10,deposito,159558.34,web,servicios,0
11,2025-07-30,60,5,compra_tc,76995.26,web,salud,0
12,2025-07-05,63,2,compra_tc,46589.85,web,salud,0
13,2025-08-02,86,5,deposito,439091.88,web,ecommerce,0
14,2025-09-03,2,3,retiro,240335.83,app,gasolina,0
15,2025-07-18,88,7,compra_tc,144947.99,oficina,viajes,0
16,2025-10-04,72,10,deposito,121388.62,oficina,viajes,0
17,2025-08-18,11,5,pago_cuota,100000.01,oficina,servicios,0
18,2025-07-11,64,8,retiro,76453.95,telefono,gasolina,0
19,2025-09-23,77,1,compra_tc,70269.86,app,servicios,0
20,2025-07-26,81,3,apertura,0.0,oficina,supermercado,0
21,2025-09-01,72,3,compra_tc,181166.43,telefono,restaurante,0
22,2025-09-27,21,9,pago_cuota,265552.15,app,entretenimiento,0
23,2025-09-24,18,5,compra_tc,164385.72,app,supermercado,0
24,2025-08-28,94,12,compra_tc,53989.98,telefono,gasolina,0
25,2025-07-27,64,9,pago_cuota,166764.84,app,gasolina,0
26,2025-08-18,82,13,compra_tc,136059.64,telefono,restaurante,0
27,2025-09-15,95,9,atraso_pago,382286.75,oficina,servicios,13
28,2025-08-02,38,1,compra_tc,442687.98,telefono,ecommerce,0
29,2025-10-06,32,2,pago_cuota,362933.34,app,ecommerce,0
30,2025-10-07,11,5,compra_tc,109851.91,oficina,restaurante,0
31,2025-07-01,45,4,compra_tc,655332.85,oficina,ecommerce,0
32,2025-07-21,89,15,compra_tc,208076.22,web,viajes,0
33,2025-08-24,33,10,pago_cuota,406493.3,web,ecommerce,0
34,2025-07-06,41,9,pago_cuota,91584.99,app,ecommerce,0
35,2025-09-30,8,7,pago_cuota,105644.9,telefono,ecommerce,0
36,2025-09-19,11,6,deposito,236603.42,telefono,viajes,0
37,2025-09-07,86,7,deposito,217213.48,app,servicios,0
38,2025-10-03,51,1,compra_tc,391745.77,oficina,ecommerce,0
39,2025-07-05,88,1,pago_cuota,110676.4,app,salud,0
40,2025-07-03,41,8,cancelacion,0.0,app,viajes,0
41,2025-08-22,17,13,pago_cuota,217383.99,oficina,restaurante,0
42,2025-07-23,76,13,deposito,168206.39,telefono,supermercado,0
43,2025-10-09,46,2,compra_tc,257370.93,app,restaurante,0
44,2025-08-22,32,12,retiro,70114.78,telefono,supermercado,0
45,2025-08-06,79,10,retiro,506013.4,app,entretenimiento,0
46,2025-09-12,80,11,pago_cuota,20167.42,oficina,restaurante,0
47,2025-09-12,54,9,cancelacion,0.0,oficina,salud,0
48,2025-09-21,86,7,compra_tc,47324.47,web,supermercado,0
49,2025-07-17,92,6,compra_tc,138973.74,oficina,supermercado,0
50,2025-09-23,20,1,retiro,91972.85,web,gasolina,0
51,2025-09-16,33,1,retiro,280552.98,app,supermercado,0
52,2025-09-11,74,2,compra_tc,100257.13,telefono,supermercado,0
53,2025-07-01,40,6,compra_tc,406609.42,oficina,gasolina,0
54,2025-08-20,32,14,compra_tc,71312.6,oficina,ecommerce,0
55,2025-08-14,97,6,compra_tc,417762.68,oficina,ecommerce,0
56,2025-09-15,2,2,retiro,70061.77,app,gasolina,0
57,2025-07-04,97,1,pago_cuota,137071.86,web,viajes,0
58,2025-08-31,33,10,compra_tc,128609.37,app,entretenimiento,0
59,2025-09-03,77,5,pago_cuota,319499.46,telefono,supermercado,0
60,2025-08-01,30,5,compra_tc,348508.5,app,supermercado,0
61,2025-08-03,33,2,compra_tc,222004.12,telefono,gasolina,0
62,2025-09-30,77,6,deposito,87204.72,oficina,gasolina,0
63,2025-10-03,26,9,cancelacion,0.0,telefono,viajes,0
64,2025-09-10,22,2,atraso_pago,71298.88,telefono,salud,55
65,2025-08-08,66,10,compra_tc,33735.3,web,ecommerce,0
66,2025-07-26,38,2,apertura,0.0,telefono,restaurante,0
67,2025-08-03,90,3,retiro,77629.12,telefono,salud,0
68,2025-08-23,46,13,retiro,77051.45,app,servicios,0
69,2025-07-03,15,7,pago_cuota,371063.33,oficina,ecommerce,0
70,2025-08-19,98,6,pago_cuota,93308.3,app,supermercado,0
71,2025-07-12,44,12,compra_tc,90370.25,app,servicios,0
72,2025-09-03,49,8,compra_tc,139062.4,oficina,salud,0
73,2025-08-23,75,15,compra_tc,73653.85,oficina,gasolina,0
74,2025-07-05,61,8,compra_tc,207119.05,telefono,viajes,0
75,2025-10-02,67,6,pago_cuota,100237.03,telefono,ecommerce,0
76,2025-10-02,6,12,retiro,68465.44,web,viajes,0
77,2025-08-26,9,11,pago_cuota,85915.9,app,servicios,0
78,2025-07-17,6,10,compra_tc,151092.11,oficina,ecommerce,0
79,2025-08-16,73,3,cancelacion,0.0,telefono,entretenimiento,0
80,2025-07-23,95,3,cancelacion,0.0,oficina,entretenimiento,0
81,2025-09-17,32,15,retiro,75965.78,telefono,salud,0
82,2025-10-09,41,1,cancelacion,0.0,web,supermercado,0
83,2025-09-23,76,7,deposito,171893.24,web,entretenimiento,0
84,2025-07-14,8,5,cancelacion,0.0,oficina,entretenimiento,0
85,2025-09-04,72,4,compra_tc,101349.52,web,restaurante,0
86,2025-09-13,50,10,pago_cuota,263042.66,oficina,viajes,0
87,2025-08-20,92,15,compra_tc,174168.71,telefono,viajes,0
88,2025-08-07,62,4,compra_tc,114382.95,app,entretenimiento,0
89,2025-09-02,84,14,compra_tc,207123.18,web,restaurante,0
90,2025-10-06,62,4,deposito,185398.63,telefono,viajes,0
91,2025-08-07,7,6,retiro,29012.9,app,viajes,0
92,2025-08-19,75,15,deposito,247951.5,app,ecommerce,0
93,2025-10-06,84,8,compra_tc,79725.57,app,ecommerce,0
94,2025-09-20,80,8,atraso_pago,281739.72,telefono,restaurante,12
95,2025-07-30,4,5,deposito,164900.38,telefono,servicios,0
96,2025-09-17,6,15,pago_cuota,224786.34,oficina,supermercado,0
97,2025-09-29,58,6,deposito,125639.08,app,salud,0
98,2025-08-20,22,4,compra_tc,170919.93,app,entretenimiento,0
99,2025-09-01,26,12,compra_tc,379712.8,app,entretenimiento,0
100,2025-10-06,3,14,apertura,0.0,oficina,salud,0
101,2025-08-21,41,11,compra_tc,107627.13,app,entretenimiento,0
102,2025-08-07,60,13,pago_cuota,205949.22,telefono,entretenimiento,0
103,2025-10-05,14,9,apertura,0.0,app,servicios,0
104,2025-09-26,75,8,retiro,66506.17,web,viajes,0
105,2025-09-17,82,10,compra_tc,40545.39,telefono,supermercado,0
106,2025-07-30,12,12,compra_tc,106189.86,oficina,entretenimiento,0
107,2025-08-20,87,10,compra_tc,261490.09,app,restaurante,0
108,2025-09-19,12,1,deposito,113527.19,web,servicios,0
109,2025-07-05,13,15,pago_cuota,129210.74,oficina,entretenimiento,0
110,2025-07-29,25,2,compra_tc,102719.84,oficina,restaurante,0
